Instance,CPU,z*
abs1n5.dat,0,1281.68
abs2n5.dat,0,1176.63
abs3n5.dat,0,2020.65
abs4n5.dat,0,1449.43
abs5n5.dat,0,1165.4
abs1n10.dat,0,2167.36999
abs2n10.dat,0,2510.12988
abs3n10.dat,0,2099.67993
abs4n10.dat,0,2188.00999
abs5n10.dat,0,2178.15
abs1n15.dat,0,2236.52999
abs2n15.dat,1,2506.20996
abs3n15.dat,1,2841.05999
abs4n15.dat,1,2430.06999
abs5n15.dat,2,2453.49999
abs1n20.dat,12,2793.28999
abs2n20.dat,6,2799.89999
abs3n20.dat,8,3101.59999
abs4n20.dat,4,3239.30999
abs5n20.dat,7,3330.98999
abs1n25.dat,25,3309.63999
abs2n25.dat,53,3495.96999
abs3n25.dat,23,3481.44999
abs4n25.dat,8,3272.73999
abs5n25.dat,30,3695.93994
abs1n30.dat,84,3918.75998
abs2n30.dat,128,3737.10998
abs3n30.dat,40,3761.84998
abs4n30.dat,77,3532.46998
abs5n30.dat,69,3265.88999
abs1n35.dat,173,3694.47998
abs2n35.dat,74,3796.79998
abs3n35.dat,273,4351.08998
abs4n35.dat,445,3766.38998
abs5n35.dat,78,3625.56998
abs1n40.dat,1500,4263.42998
abs2n40.dat,369,4166.94998
abs3n40.dat,1183,4337.29998
abs4n40.dat,242,3846.83998
abs5n40.dat,138,4013.97998
abs1n45.dat,1133,4369.37998
abs2n45.dat,928,4226.81998
abs3n45.dat,427,4317.07998
abs4n45.dat,1684,4527.94998
abs5n45.dat,1076,3911.81998
abs1n50.dat,2869,4629.91998
abs2n50.dat,1235,4919.74998
abs3n50.dat,2496,4868.35998
abs4n50.dat,7207,4972.24997
abs5n50.dat,4055,4664.04997
